Secchi Depth (cm) = 0573
Forel Ule Scale = 11
pH Colour Scale = 99
SensingSecchi S/N = A005
Latitude (degs N) = 56.477567
Longitude (degs E) = -5.5034
Date = 2405160902
Millisecond since start, Pressure (mbar) MS5803, Temp (deg C) MS5803, 415nm, 445nm, 480nm, 515nm, 555nm, 590nm, 630nm, 680nm, Clear, NIR
143162, 998.60, 14.69, 1350, 2044, 2754, 3497, 3735, 4057, 4920, 5344, 19740, 7751
143510, 998.50, 14.70, 1358, 2058, 2779, 3504, 3793, 4143, 5044, 5452, 19902, 7812
143858, 998.80, 14.70, 1428, 2143, 2920, 3706, 4124, 4475, 5413, 5910, 21697, 8400
144204, 998.40, 14.71, 1536, 2365, 3180, 3955, 4331, 4708, 5597, 6270, 21684, 8384
144551, 998.30, 14.72, 1598, 2406, 3276, 3962, 4331, 4691, 5574, 6293, 21138, 8146
144909, 998.40, 14.73, 1609, 2423, 3303, 4004, 4451, 4839, 5731, 6489, 21985, 8525
145256, 998.50, 14.75, 1664, 2513, 3419, 4127, 4496, 4944, 5738, 6647, 22465, 8645
145603, 998.60, 14.76, 1669, 2485, 3411, 4074, 4474, 4862, 5734, 6542, 21689, 8357
145951, 998.40, 14.77, 1639, 2446, 3356, 4026, 4399, 4773, 5623, 6389, 21260, 8179
146298, 998.50, 14.78, 1627, 2419, 3322, 4011, 4444, 4823, 5697, 6466, 21115, 8136
146645, 998.70, 14.79, 1649, 2526, 3412, 4201, 4636, 5031, 6000, 6757, 22420, 8599
146996, 998.90, 14.81, 1664, 2606, 3471, 4342, 4677, 5040, 6103, 6802, 23083, 8800
147345, 998.80, 14.81, 1631, 2546, 3403, 4269, 4542, 4921, 5955, 6593, 22600, 8609
147692, 998.40, 14.82, 1591, 2460, 3311, 4141, 4407, 4753, 5783, 6326, 21705, 8294
148040, 998.40, 14.83, 1539, 2411, 3244, 4026, 4442, 4641, 5769, 6305, 22133, 8454
148387, 998.40, 14.84, 1547, 2454, 3306, 4021, 4533, 4694, 5818, 6501, 23340, 9234
148735, 998.50, 14.85, 1569, 2473, 3358, 4018, 4504, 4701, 5739, 6538, 23392, 9572
149087, 998.50, 14.86, 1572, 2453, 3346, 3978, 4455, 4678, 5648, 6465, 22789, 9317
149436, 998.30, 14.88, 1566, 2420, 3312, 3931, 4336, 4606, 5486, 6332, 21918, 8906
149784, 998.20, 14.89, 1537, 2331, 3215, 3787, 4151, 4470, 5279, 6106, 20631, 8259
150132, 998.30, 14.90, 1535, 2269, 3147, 3720, 4116, 4467, 5259, 6047, 19640, 7736
150478, 998.10, 14.91, 1520, 2216, 3089, 3649, 3923, 4297, 5021, 5770, 17696, 6857
150828, 998.20, 14.92, 1447, 2101, 2922, 3473, 3786, 4170, 4862, 5619, 17419, 6901
151179, 998.10, 14.93, 1439, 2107, 2924, 3484, 3829, 4159, 4936, 5639, 18333, 7464
151526, 998.20, 14.94, 1441, 2113, 2931, 3497, 3841, 4196, 4958, 5687, 18552, 7530
151874, 998.30, 14.95, 1476, 2165, 2999, 3560, 3968, 4347, 5086, 5904, 19190, 7691
152222, 998.20, 14.95, 1502, 2215, 3064, 3632, 3991, 4394, 5092, 5964, 19046, 7540
152568, 998.20, 14.96, 1510, 2237, 3086, 3647, 4047, 4415, 5136, 6021, 19002, 7539
152918, 998.20, 14.97, 1493, 2236, 3089, 3622, 4007, 4331, 5045, 5938, 18767, 7457
153267, 998.20, 14.98, 1458, 2217, 3058, 3569, 3998, 4261, 5021, 5888, 18811, 7449
153616, 998.30, 14.99, 1442, 2227, 3064, 3583, 4017, 4244, 5045, 5884, 19264, 7632
153963, 998.40, 15.00, 1414, 2209, 3034, 3557, 4025, 4215, 5067, 5859, 19791, 7868
154311, 998.30, 15.01, 1370, 2182, 2984, 3531, 4018, 4174, 5100, 5801, 20217, 8031
154660, 998.50, 15.02, 1370, 2214, 3000, 3597, 4034, 4182, 5151, 5792, 20742, 8145
155007, 998.50, 15.02, 1360, 2207, 2962, 3615, 3998, 4170, 5163, 5736, 21128, 8202
155358, 998.80, 15.03, 1373, 2220, 2971, 3666, 4069, 4279, 5312, 5843, 21518, 8256
155707, 999.40, 15.05, 1413, 2267, 3027, 3766, 4158, 4400, 5444, 5969, 21696, 8274
156054, 1001.40, 15.04, 1320, 2159, 2851, 3609, 3639, 3915, 4760, 5292, 17031, 5498
156401, 1001.90, 14.97, 1190, 1923, 2586, 3246, 3834, 4091, 5024, 5503, 19816, 6015
156749, 1000.20, 14.91, 1422, 2265, 3039, 3814, 4097, 4392, 5361, 5902, 20638, 7162
157096, 1001.70, 14.85, 1389, 2223, 2965, 3733, 3783, 4077, 4920, 5454, 19906, 6817
157446, 1005.90, 14.80, 1331, 2135, 2881, 3611, 3822, 4118, 4953, 5490, 19301, 4999
157793, 1008.80, 14.76, 1291, 2089, 2848, 3571, 3821, 4108, 4871, 5437, 18571, 3957
158142, 1011.70, 14.72, 1248, 2015, 2777, 3460, 3769, 4052, 4742, 5319, 17869, 3401
158489, 1014.50, 14.68, 1212, 1953, 2716, 3368, 3677, 3944, 4583, 5140, 17066, 2929
158836, 1016.40, 14.64, 1171, 1886, 2639, 3269, 3597, 3845, 4447, 4988, 16572, 2712
159182, 1019.00, 14.60, 1157, 1862, 2617, 3239, 3566, 3823, 4383, 4926, 15989, 2452
159530, 1023.30, 14.57, 1118, 1805, 2549, 3158, 3481, 3737, 4242, 4787, 15149, 2074
159876, 1027.90, 14.54, 1070, 1737, 2481, 3072, 3374, 3600, 4091, 4581, 14317, 1753
160224, 1031.00, 14.50, 1024, 1671, 2418, 2995, 3325, 3519, 4013, 4434, 13734, 1550
160571, 1030.30, 14.46, 1001, 1641, 2384, 2960, 3298, 3490, 3980, 4393, 13591, 1525
160919, 1031.00, 14.41, 1000, 1640, 2373, 2946, 3262, 3436, 3926, 4340, 13532, 1525
161267, 1032.50, 14.36, 983, 1619, 2351, 2911, 3243, 3395, 3885, 4295, 13253, 1462
161613, 1037.70, 14.32, 935, 1563, 2289, 2794, 3113, 3200, 3659, 4092, 12318, 1301
161964, 1044.80, 14.27, 891, 1516, 2238, 2756, 3149, 3207, 3659, 3996, 11612, 1102
162312, 1050.30, 14.22, 855, 1479, 2198, 2715, 3090, 3105, 3552, 3844, 10924, 1001
162658, 1055.40, 14.15, 820, 1438, 2152, 2656, 3028, 3008, 3448, 3713, 10090, 888
163005, 1059.60, 14.12, 784, 1391, 2085, 2587, 2981, 2951, 3401, 3606, 9631, 823
163353, 1063.40, 14.09, 756, 1353, 2034, 2549, 2931, 2896, 3346, 3501, 9039, 739
163702, 1068.80, 14.07, 727, 1313, 1981, 2512, 2865, 2830, 3251, 3362, 8339, 651
164053, 1073.30, 14.05, 696, 1264, 1924, 2463, 2780, 2752, 3132, 3207, 7677, 579
164402, 1077.40, 14.02, 647, 1164, 1780, 2294, 2582, 2560, 2880, 2946, 6453, 469
164749, 1083.30, 13.99, 624, 1120, 1727, 2225, 2521, 2493, 2792, 2828, 5950, 421
165097, 1091.20, 13.96, 592, 1063, 1657, 2140, 2438, 2394, 2660, 2663, 5425, 374
165446, 1099.10, 13.94, 546, 989, 1559, 2022, 2294, 2231, 2465, 2437, 4625, 313
165793, 1104.40, 13.93, 511, 931, 1486, 1932, 2244, 2170, 2385, 2332, 4360, 290
166144, 1108.00, 13.89, 504, 923, 1487, 1932, 2250, 2164, 2372, 2293, 4356, 284
166493, 1112.40, 13.85, 494, 909, 1473, 1919, 2230, 2143, 2337, 2243, 4304, 277
166842, 1117.50, 13.82, 467, 859, 1401, 1832, 2107, 2026, 2199, 2103, 3806, 245
167189, 1119.20, 13.78, 465, 865, 1413, 1855, 2140, 2067, 2223, 2124, 4040, 257
167539, 1121.40, 13.75, 444, 823, 1352, 1776, 2065, 2000, 2144, 2049, 3728, 239
167885, 1124.00, 13.72, 426, 791, 1304, 1718, 1963, 1899, 2028, 1935, 3353, 217
168235, 1127.00, 13.70, 416, 776, 1285, 1697, 1923, 1865, 1978, 1883, 3318, 215
168585, 1129.20, 13.69, 400, 745, 1240, 1640, 1909, 1852, 1958, 1860, 3422, 222
168933, 1132.20, 13.68, 394, 736, 1230, 1628, 1846, 1790, 1887, 1783, 3336, 218
169281, 1136.20, 13.67, 386, 723, 1215, 1611, 1832, 1775, 1865, 1750, 3492, 228
169629, 1139.50, 13.67, 373, 701, 1184, 1572, 1805, 1743, 1831, 1702, 3619, 236
169977, 1143.00, 13.66, 362, 687, 1164, 1550, 1773, 1705, 1790, 1652, 3767, 245
170324, 1146.10, 13.65, 353, 674, 1150, 1530, 1752, 1679, 1758, 1617, 3988, 261
170673, 1149.70, 13.64, 345, 663, 1134, 1508, 1722, 1639, 1715, 1570, 4137, 274
171020, 1152.20, 13.63, 337, 654, 1122, 1493, 1723, 1634, 1707, 1557, 4418, 298
171369, 1153.00, 13.63, 337, 659, 1131, 1504, 1742, 1648, 1724, 1568, 4689, 320
171716, 1152.90, 13.62, 342, 672, 1149, 1529, 1772, 1676, 1754, 1594, 5013, 346
172063, 1157.40, 13.61, 342, 672, 1150, 1532, 1760, 1664, 1729, 1568, 5216, 365
172411, 1164.00, 13.59, 330, 653, 1126, 1505, 1726, 1623, 1675, 1501, 5198, 364
172761, 1169.30, 13.56, 322, 642, 1113, 1493, 1706, 1598, 1644, 1457, 5176, 362
173108, 1173.30, 13.54, 313, 627, 1094, 1471, 1701, 1587, 1624, 1432, 5235, 367
173454, 1177.70, 13.52, 312, 628, 1099, 1481, 1722, 1598, 1630, 1428, 5306, 371
173801, 1181.50, 13.51, 309, 625, 1098, 1483, 1711, 1582, 1611, 1402, 5316, 372
174148, 1187.60, 13.49, 304, 617, 1089, 1475, 1725, 1585, 1605, 1384, 5354, 374
174495, 1195.80, 13.46, 302, 620, 1103, 1499, 1699, 1553, 1555, 1324, 5234, 366
174844, 1202.10, 13.44, 287, 595, 1066, 1458, 1688, 1534, 1526, 1286, 5100, 355
175192, 1206.10, 13.42, 275, 569, 1024, 1406, 1631, 1478, 1471, 1234, 5033, 353
175542, 1209.90, 13.40, 269, 560, 1010, 1391, 1606, 1454, 1442, 1205, 4998, 351
175889, 1214.10, 13.38, 264, 553, 1000, 1382, 1598, 1443, 1424, 1183, 4977, 349
176236, 1218.50, 13.38, 258, 541, 982, 1362, 1587, 1429, 1402, 1157, 4948, 346
176584, 1224.20, 13.37, 253, 533, 973, 1353, 1553, 1393, 1358, 1114, 4879, 342
176957, 1228.80, 13.37, 249, 526, 965, 1345, 1570, 1405, 1360, 1108, 4856, 339
177306, 1234.00, 13.37, 243, 516, 950, 1327, 1536, 1371, 1319, 1072, 4815, 336
177654, 1239.60, 13.37, 243, 519, 959, 1342, 1541, 1369, 1307, 1055, 4802, 335
178003, 1244.60, 13.37, 235, 504, 935, 1313, 1559, 1378, 1305, 1045, 4764, 331
178350, 1251.80, 13.36, 236, 510, 952, 1343, 1547, 1359, 1275, 1010, 4685, 325
178698, 1261.40, 13.36, 229, 501, 942, 1335, 1511, 1320, 1225, 960, 4519, 312
179047, 1269.10, 13.35, 213, 466, 883, 1258, 1454, 1268, 1167, 906, 4336, 298
179407, 1276.20, 13.34, 201, 441, 841, 1203, 1392, 1212, 1105, 857, 4253, 294
179755, 1280.50, 13.33, 192, 422, 810, 1162, 1326, 1155, 1044, 809, 4174, 291
180102, 1286.20, 13.31, 193, 426, 819, 1177, 1399, 1209, 1088, 832, 4201, 290
180451, 1293.30, 13.30, 185, 410, 795, 1146, 1340, 1153, 1027, 780, 4082, 283
180798, 1303.90, 13.26, 188, 420, 819, 1185, 1445, 1223, 1075, 803, 4128, 283
181145, 1313.80, 13.25, 185, 418, 825, 1202, 1400, 1178, 1023, 752, 3816, 259
181494, 1323.40, 13.24, 186, 423, 839, 1225, 1511, 1258, 1074, 781, 3923, 267
181842, 1333.40, 13.24, 175, 400, 799, 1172, 1376, 1142, 967, 697, 3667, 248
182190, 1343.40, 13.23, 168, 384, 772, 1138, 1293, 1069, 895, 640, 3620, 247
182538, 1354.00, 13.21, 146, 332, 677, 1000, 1143, 950, 781, 557, 3395, 235
182886, 1358.20, 13.20, 132, 298, 613, 912, 1076, 896, 729, 518, 3263, 227
183235, 1361.50, 13.19, 130, 293, 604, 899, 1113, 923, 748, 529, 3342, 231
183582, 1369.80, 13.18, 145, 333, 686, 1026, 1210, 991, 795, 554, 3398, 231
183935, 1378.50, 13.16, 140, 323, 669, 1005, 1164, 951, 752, 521, 3326, 226
184282, 1387.90, 13.15, 143, 334, 695, 1049, 1296, 1040, 813, 551, 3353, 225
184628, 1395.10, 13.13, 141, 330, 692, 1051, 1285, 1028, 793, 534, 3266, 218
184976, 1403.00, 13.11, 141, 332, 700, 1068, 1249, 997, 757, 507, 3194, 212
185325, 1413.00, 13.10, 138, 325, 691, 1056, 1211, 963, 719, 479, 3171, 211
185672, 1423.70, 13.08, 123, 287, 616, 940, 1073, 859, 626, 418, 3078, 207
186020, 1434.00, 13.07, 112, 261, 561, 863, 996, 795, 573, 381, 3001, 205
186372, 1443.50, 13.06, 115, 269, 583, 899, 1122, 885, 623, 409, 2994, 199
186721, 1454.50, 13.06, 121, 285, 623, 962, 1187, 927, 639, 416, 2776, 182
187069, 1463.60, 13.06, 120, 280, 617, 952, 1131, 885, 597, 392, 2717, 179
187417, 1473.80, 13.06, 113, 264, 584, 904, 1056, 820, 546, 358, 2518, 167
187763, 1483.30, 13.06, 109, 253, 565, 869, 1046, 805, 527, 348, 2394, 161
188113, 1495.70, 13.06, 103, 237, 534, 818, 1008, 763, 496, 326, 2246, 155
188460, 1506.70, 13.05, 100, 232, 530, 810, 1043, 772, 498, 322, 2155, 148
188805, 1518.00, 13.04, 99, 235, 542, 832, 1046, 760, 488, 308, 2055, 140
189153, 1528.40, 13.04, 97, 234, 544, 843, 1066, 764, 489, 302, 1924, 128
189500, 1537.80, 13.03, 90, 210, 492, 772, 957, 697, 442, 270, 1566, 104
189847, 1548.20, 13.02, 86, 203, 479, 763, 911, 664, 417, 252, 1406, 92
190193, 1558.20, 13.00, 74, 164, 390, 625, 801, 588, 363, 221, 1053, 70
190542, 1568.00, 12.98, 73, 166, 398, 642, 815, 592, 363, 217, 1024, 67
190891, 1578.20, 12.97, 76, 175, 422, 684, 931, 660, 403, 232, 1294, 80
191238, 1588.30, 12.95, 82, 199, 482, 789, 950, 672, 401, 228, 1408, 86
191587, 1598.50, 12.94, 75, 176, 433, 707, 886, 623, 371, 209, 1184, 73
191934, 1608.70, 12.92, 68, 154, 385, 629, 755, 535, 316, 179, 866, 58
192283, 1618.90, 12.90, 68, 156, 391, 643, 836, 587, 338, 189, 1068, 66
192632, 1628.70, 12.87, 65, 146, 371, 611, 821, 571, 328, 181, 1037, 65
192980, 1638.40, 12.84, 70, 167, 420, 700, 845, 579, 328, 178, 1141, 70
193332, 1649.10, 12.82, 65, 150, 384, 639, 810, 556, 311, 169, 1049, 66
193679, 1661.10, 12.80, 60, 134, 346, 577, 729, 503, 276, 151, 901, 60
194027, 1670.80, 12.78, 59, 134, 346, 581, 773, 526, 286, 154, 1024, 66
194375, 1681.60, 12.76, 62, 148, 384, 646, 811, 540, 292, 155, 1147, 74
194723, 1691.60, 12.73, 60, 142, 372, 627, 827, 540, 288, 151, 1218, 78
195071, 1701.90, 12.71, 59, 139, 366, 618, 750, 496, 260, 138, 1040, 70
195419, 1712.10, 12.68, 55, 127, 337, 573, 728, 485, 249, 131, 1051, 70
195769, 1722.60, 12.65, 49, 109, 291, 504, 700, 467, 235, 123, 1038, 69
196117, 1734.00, 12.62, 50, 113, 305, 527, 673, 451, 224, 117, 959, 65
196464, 1747.40, 12.60, 49, 108, 297, 513, 708, 460, 226, 116, 986, 65
196810, 1756.60, 12.56, 49, 111, 311, 537, 723, 460, 224, 113, 1017, 66
197157, 1765.80, 12.53, 49, 113, 317, 553, 733, 466, 226, 113, 1080, 71
197507, 1776.30, 12.50, 48, 111, 312, 550, 726, 459, 220, 109, 1097, 72
197856, 1785.40, 12.45, 46, 104, 295, 524, 687, 438, 207, 101, 1013, 67
198204, 1795.20, 12.43, 43, 95, 270, 484, 633, 410, 190, 93, 882, 59
198550, 1805.70, 12.40, 39, 81, 238, 430, 605, 393, 179, 87, 822, 56
198896, 1814.30, 12.39, 40, 85, 248, 452, 626, 399, 181, 87, 860, 57
199243, 1822.10, 12.38, 40, 87, 256, 468, 649, 408, 184, 87, 942, 62
199590, 1828.70, 12.36, 39, 88, 257, 473, 643, 402, 180, 85, 918, 60
199938, 1836.80, 12.36, 38, 84, 250, 460, 627, 393, 175, 82, 881, 58
200287, 1842.00, 12.35, 37, 80, 239, 443, 611, 384, 170, 79, 845, 56
200635, 1850.30, 12.34, 36, 74, 224, 416, 569, 362, 157, 74, 749, 51
200987, 1859.30, 12.32, 34, 71, 216, 403, 573, 362, 155, 72, 767, 51
201336, 1864.90, 12.31, 34, 71, 217, 405, 569, 358, 153, 70, 762, 51
201683, 1864.10, 12.30, 34, 71, 216, 405, 570, 359, 153, 70, 763, 51
202030, 1861.10, 12.28, 34, 71, 216, 406, 576, 363, 155, 72, 768, 51
202378, 1860.00, 12.26, 35, 73, 222, 415, 581, 366, 157, 73, 774, 51
202728, 1863.00, 12.24, 35, 73, 222, 416, 585, 367, 158, 73, 780, 52
203075, 1865.80, 12.23, 35, 72, 219, 411, 582, 365, 156, 72, 777, 52
203427, 1866.90, 12.22, 35, 73, 220, 414, 582, 365, 156, 72, 778, 52
203775, 1868.70, 12.21, 35, 73, 224, 419, 590, 368, 157, 72, 808, 54
204123, 1867.70, 12.21, 35, 74, 224, 421, 594, 371, 157, 73, 834, 56
204471, 1867.90, 12.21, 35, 74, 226, 423, 595, 372, 157, 73, 847, 57
204819, 1866.60, 12.21, 35, 74, 227, 423, 596, 372, 157, 73, 875, 59
205168, 1863.40, 12.21, 36, 75, 229, 426, 601, 377, 158, 75, 907, 61
