Secchi Depth (cm) = 0596
Forel Ule Scale = 12
pH Colour Scale = 99
SensingSecchi S/N = A005
Latitude (degs N) = 56.53197
Longitude (degs E) = -5.330067
Date = 2405161229
Millisecond since start, Pressure (mbar) MS5803, Temp (deg C) MS5803, 415nm, 445nm, 480nm, 515nm, 555nm, 590nm, 630nm, 680nm, Clear, NIR
115671, 998.30, 15.14, 1942, 3065, 4070, 5022, 5165, 5528, 6669, 7327, 28840, 12291
116021, 998.40, 15.14, 1691, 2583, 3437, 4327, 4742, 5122, 6188, 6654, 25808, 10847
116371, 998.20, 15.15, 2072, 3095, 4160, 5083, 5843, 6329, 7351, 8414, 28929, 11933
116720, 997.90, 15.15, 2156, 3229, 4371, 5227, 5682, 6144, 7124, 8178, 26150, 10298
117070, 997.90, 15.16, 1936, 3031, 4060, 4935, 5539, 5863, 7190, 7787, 29119, 12099
117439, 998.20, 15.18, 1857, 2849, 3801, 4596, 4696, 5029, 5976, 6524, 27494, 11645
117789, 997.90, 15.18, 1994, 3089, 4126, 5012, 5555, 5981, 7106, 7960, 27467, 11105
118138, 997.90, 15.19, 1974, 3034, 4059, 4938, 5255, 5693, 6702, 7546, 26280, 10516
118488, 997.60, 15.19, 1822, 2789, 3748, 4469, 4954, 5321, 6308, 6990, 27227, 11364
118839, 998.00, 15.19, 1923, 3001, 4005, 4892, 5617, 5958, 7202, 7884, 29632, 12509
119190, 998.00, 15.20, 1991, 3111, 4130, 5054, 5554, 5999, 7144, 7931, 29485, 12211
119543, 997.70, 15.21, 2080, 3201, 4280, 5211, 5598, 6072, 7115, 8027, 26841, 11079
119892, 997.70, 15.22, 1633, 2512, 3413, 4097, 4596, 4886, 5845, 6564, 17969, 6994
120244, 997.50, 15.22, 1903, 2895, 3929, 4712, 5021, 5370, 6373, 7182, 20826, 8242
120593, 998.20, 15.22, 1896, 2912, 3933, 4750, 5507, 5952, 6996, 7926, 26407, 10632
120944, 999.10, 15.26, 1053, 1583, 2048, 2382, 2531, 2593, 3191, 3375, 16449, 7056
121294, 999.20, 15.29, 1000, 1527, 1951, 2441, 2675, 2768, 3446, 3652, 18154, 7776
121649, 999.00, 15.30, 866, 1325, 1728, 2154, 2474, 2562, 3213, 3420, 16849, 7305
121998, 999.30, 15.31, 752, 1147, 1483, 1882, 2184, 2286, 2834, 3020, 14763, 6304
122350, 999.20, 15.31, 835, 1253, 1611, 2038, 2121, 2272, 2749, 2956, 13373, 5475
122700, 999.20, 15.32, 870, 1317, 1699, 2144, 2273, 2423, 2945, 3196, 14307, 5916
123050, 999.00, 15.32, 884, 1338, 1724, 2174, 2393, 2532, 3120, 3339, 15359, 6458
123401, 999.30, 15.32, 1026, 1579, 2045, 2569, 2813, 2951, 3665, 3938, 17600, 7490
123753, 999.20, 15.33, 821, 1254, 1617, 2045, 2391, 2519, 3128, 3346, 15636, 6629
124102, 998.90, 15.33, 1043, 1582, 2041, 2531, 3066, 3227, 3850, 4179, 18764, 7895
124452, 999.00, 15.33, 1192, 1764, 2273, 2734, 2845, 2963, 3565, 3748, 17251, 7255
124803, 998.90, 15.34, 1182, 1755, 2252, 2732, 2869, 3019, 3595, 3824, 17347, 7223
125155, 999.00, 15.35, 1110, 1665, 2115, 2597, 2700, 2843, 3408, 3597, 16578, 6840
125505, 998.90, 15.35, 1170, 1755, 2243, 2737, 2933, 3070, 3676, 3912, 18011, 7579
125858, 998.90, 15.35, 1294, 1932, 2506, 3015, 3688, 3867, 4625, 5079, 22122, 9700
126208, 998.80, 15.35, 891, 1422, 1898, 2312, 615, 679, 935, 1035, 3318, 1426
126559, 998.80, 15.36, 216, 320, 412, 526, 626, 688, 931, 1012, 2930, 1161
126909, 999.00, 15.39, 191, 281, 341, 459, 396, 437, 566, 640, 1911, 864
127259, 998.60, 15.37, 198, 311, 389, 473, 608, 652, 851, 901, 2412, 1084
127608, 998.60, 15.36, 343, 518, 679, 838, 921, 945, 1349, 1359, 4300, 1822
127962, 998.50, 15.36, 381, 575, 769, 975, 1047, 1116, 1510, 1563, 4075, 1716
128311, 998.60, 15.37, 498, 757, 1003, 1214, 1380, 1460, 1824, 1966, 5605, 2092
128660, 998.50, 15.38, 535, 817, 1076, 1298, 1300, 1363, 1692, 1781, 5456, 2046
129010, 998.70, 15.38, 527, 805, 1054, 1283, 1330, 1384, 1741, 1828, 5347, 2011
129359, 998.50, 15.39, 493, 749, 984, 1197, 1192, 1246, 1566, 1639, 4727, 1803
129709, 998.30, 15.39, 479, 726, 946, 1161, 1233, 1296, 1622, 1703, 5061, 1949
130059, 998.40, 15.40, 516, 796, 1036, 1273, 1359, 1414, 1790, 1867, 5712, 2171
130412, 998.00, 15.40, 587, 919, 1202, 1454, 2545, 2715, 3187, 3627, 13104, 5184
