Secchi Depth (cm) = 0543
Forel Ule Scale = 13
pH Colour Scale = 99
SensingSecchi S/N = A005
Latitude (degs N) = 56.539217
Longitude (degs E) = -5.40433
Date = 2405161024
Millisecond since start, Pressure (mbar) MS5803, Temp (deg C) MS5803, 415nm, 445nm, 480nm, 515nm, 555nm, 590nm, 630nm, 680nm, Clear, NIR
129243, 998.00, 14.11, 903, 1329, 1846, 2180, 2368, 2587, 3083, 3489, 12182, 4882
129592, 997.90, 14.12, 826, 1199, 1658, 1966, 2106, 2300, 2767, 3164, 9647, 3999
129939, 997.80, 14.11, 856, 1233, 1680, 2056, 2299, 2523, 3005, 3374, 8593, 3593
130290, 998.00, 14.12, 891, 1299, 1752, 2164, 2641, 2801, 3370, 3781, 9993, 3997
130637, 997.90, 14.11, 1159, 1796, 2407, 2950, 3312, 3533, 4242, 4690, 15966, 6161
130983, 997.80, 14.11, 1206, 1853, 2497, 3045, 3369, 3583, 4300, 4771, 16041, 6246
131330, 997.90, 14.11, 1197, 1832, 2473, 3024, 3285, 3493, 4220, 4628, 15966, 6322
131677, 998.00, 14.12, 1177, 1778, 2417, 2940, 3202, 3394, 4109, 4502, 15353, 6065
132025, 998.20, 14.12, 1139, 1740, 2359, 2870, 3202, 3406, 4110, 4506, 15386, 6028
132376, 998.60, 14.14, 1084, 1709, 2292, 2816, 3092, 3250, 3973, 4369, 15054, 5914
132724, 998.00, 14.14, 1058, 1635, 2200, 2658, 2921, 3161, 3702, 4195, 15472, 6067
133072, 998.10, 14.13, 1157, 1726, 2351, 2833, 3055, 3304, 3888, 4392, 15421, 6063
133419, 998.30, 14.14, 1106, 1643, 2230, 2707, 2976, 3244, 3775, 4286, 15128, 5906
133766, 998.30, 14.15, 1032, 1554, 2092, 2556, 2953, 3222, 3751, 4220, 14595, 5657
134112, 998.50, 14.15, 1018, 1518, 2046, 2496, 2894, 3160, 3683, 4164, 15149, 5867
