Secchi Depth (cm) = 0520
Forel Ule Scale = 12
pH Colour Scale = 99
SensingSecchi S/N = A005
Latitude (degs N) = 56.52945
Longitude (degs E) = -5.397367
Date = 2405161043
Millisecond since start, Pressure (mbar) MS5803, Temp (deg C) MS5803, 415nm, 445nm, 480nm, 515nm, 555nm, 590nm, 630nm, 680nm, Clear, NIR
351847, 998.50, 12.95, 1068, 1619, 2168, 2620, 2824, 3101, 3525, 4038, 16020, 6164
352195, 998.40, 12.96, 1071, 1622, 2172, 2623, 2825, 3103, 3526, 4041, 16032, 6168
352544, 998.30, 12.96, 1071, 1623, 2173, 2625, 2829, 3107, 3532, 4046, 16037, 6174
352891, 998.30, 12.97, 1072, 1624, 2174, 2628, 2829, 3108, 3531, 4046, 16032, 6175
353239, 998.30, 12.97, 1073, 1625, 2177, 2632, 2832, 3111, 3537, 4049, 16038, 6181
353587, 998.40, 12.97, 1075, 1626, 2177, 2633, 2832, 3112, 3537, 4051, 16028, 6180
353936, 998.30, 12.98, 1074, 1625, 2176, 2632, 2830, 3109, 3534, 4047, 16005, 6169
354286, 998.50, 12.98, 1073, 1622, 2174, 2630, 2826, 3105, 3528, 4042, 15983, 6159
354634, 998.40, 12.99, 1070, 1620, 2170, 2624, 2822, 3099, 3523, 4035, 15969, 6150
354981, 998.50, 12.99, 1070, 1620, 2170, 2623, 2823, 3100, 3524, 4038, 15981, 6157
355329, 998.30, 13.00, 1070, 1620, 2170, 2624, 2822, 3099, 3524, 4035, 15986, 6159
355677, 998.40, 13.00, 1070, 1620, 2171, 2625, 2824, 3102, 3526, 4039, 16001, 6163
356024, 998.50, 13.00, 1071, 1621, 2170, 2627, 2826, 3105, 3529, 4042, 16008, 6169
356376, 998.30, 13.01, 1072, 1623, 2172, 2629, 2828, 3106, 3530, 4043, 16022, 6172
356725, 998.50, 13.01, 1072, 1623, 2173, 2629, 2827, 3106, 3531, 4044, 16018, 6168
357072, 998.20, 13.02, 1072, 1623, 2172, 2628, 2826, 3105, 3529, 4041, 16002, 6163
357427, 998.40, 13.02, 1071, 1621, 2171, 2626, 2823, 3102, 3525, 4038, 15978, 6158
357775, 998.60, 13.03, 1071, 1620, 2171, 2625, 2822, 3102, 3524, 4036, 15969, 6156
358122, 998.20, 13.03, 1071, 1620, 2170, 2626, 2825, 3104, 3527, 4040, 15981, 6160
358472, 998.30, 13.03, 1072, 1622, 2173, 2628, 2826, 3107, 3531, 4044, 16006, 6168
358820, 998.20, 13.04, 1073, 1623, 2175, 2630, 2828, 3108, 3531, 4046, 16014, 6173
359167, 998.30, 13.04, 1073, 1624, 2174, 2630, 2829, 3108, 3532, 4044, 16018, 6174
359514, 998.40, 13.04, 1073, 1623, 2174, 2630, 2827, 3107, 3530, 4044, 15998, 6166
359861, 998.20, 13.05, 1072, 1622, 2173, 2627, 2823, 3104, 3524, 4040, 15937, 6140
360210, 998.50, 13.05, 1069, 1619, 2166, 2621, 2807, 3099, 3502, 4032, 15745, 6022
360561, 998.40, 13.06, 1061, 1607, 2142, 2604, 2757, 3075, 3449, 3990, 15196, 5752
360910, 998.50, 13.06, 1027, 1565, 2078, 2550, 2677, 2967, 3375, 3851, 14330, 5414
361259, 998.40, 13.07, 980, 1501, 1988, 2445, 2598, 2843, 3285, 3716, 13453, 5194
361606, 998.40, 13.07, 949, 1463, 1934, 2371, 2533, 2760, 3205, 3631, 12867, 5033
361953, 998.30, 13.08, 920, 1414, 1870, 2300, 2432, 2657, 3094, 3484, 12187, 4794
362299, 998.30, 13.08, 878, 1345, 1776, 2195, 2333, 2541, 2973, 3345, 11480, 4588
362649, 998.30, 13.09, 846, 1294, 1708, 2110, 2239, 2434, 2867, 3209, 10769, 4354
362997, 998.50, 13.09, 813, 1237, 1641, 2037, 2153, 2325, 2768, 3049, 10019, 4010
363346, 998.50, 13.11, 282, 402, 545, 710, 1592, 1736, 2057, 2329, 7038, 2890
363693, 998.40, 13.11, 807, 1183, 1601, 1895, 1679, 1865, 2167, 2447, 8035, 3213
364041, 998.30, 13.10, 748, 1090, 1447, 1830, 3079, 3286, 3889, 4395, 14871, 5652
364390, 997.90, 13.10, 1174, 1781, 2419, 2873, 2514, 2676, 3194, 3589, 13467, 5517
364741, 997.90, 13.11, 1315, 2011, 2696, 3305, 3457, 3694, 4431, 4878, 19410, 7714
365089, 997.90, 13.11, 1155, 1788, 2393, 2941, 2747, 2919, 3573, 3909, 14693, 5921
365436, 997.90, 13.12, 1106, 1710, 2322, 2793, 2932, 3046, 3763, 4187, 13766, 5748
365786, 997.80, 13.12, 986, 1565, 2071, 2562, 2794, 2931, 3517, 3891, 10824, 4062
366134, 998.00, 13.13, 1212, 1903, 2538, 3137, 3273, 3512, 4239, 4641, 17683, 6941
366481, 998.30, 13.14, 1266, 1993, 2650, 3274, 2786, 3026, 3588, 3945, 17561, 7082
366831, 998.00, 13.14, 1204, 1882, 2483, 3090, 3179, 3453, 4041, 4538, 18037, 7142
367178, 998.20, 13.14, 1233, 1942, 2581, 3171, 3392, 3594, 4333, 4771, 16234, 6311
367524, 998.20, 13.14, 1174, 1836, 2447, 2998, 3199, 3417, 4062, 4520, 16353, 6305
367871, 998.20, 13.15, 1079, 1702, 2238, 2758, 2990, 3151, 3780, 4155, 16152, 6469
368219, 998.10, 13.15, 1078, 1632, 2214, 2659, 2991, 3165, 3789, 4209, 16824, 6846
368568, 998.20, 13.16, 1097, 1703, 2269, 2782, 2957, 3189, 3772, 4208, 17387, 7054
368919, 998.10, 13.16, 1035, 1577, 2122, 2590, 2753, 2968, 3537, 3906, 17122, 6951
369268, 998.10, 13.17, 988, 1499, 2016, 2478, 2568, 2790, 3363, 3660, 15390, 6302
369616, 997.80, 13.17, 880, 1338, 1811, 2218, 2321, 2482, 3038, 3323, 12833, 5271
369962, 997.90, 13.17, 809, 1232, 1674, 2057, 2180, 2319, 2867, 3104, 10591, 4482
370311, 997.50, 13.18, 830, 1204, 1661, 2022, 2210, 2370, 2879, 3120, 9650, 3860
