# Scan 	 DD 	 MMM 	 YYYY 	 HH:MM:SS 	 PrdM 	 Tv290C 	 C0mS/cm 	 WetStar 	 Par 	 Sbeox0Mm/L 	 Sbeox0PS 	 DepSM 	 Sal00 	 Sigma-È00 	 SvCM 	 Flag
1.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+00	1.1378e+01	3.6569e+01	2.8201e+00	1.7448e+02	2.7615e+02	9.8434e+01	0.0000e+00	3.2209e+01	2.4536e+01	1.4913e+03	0.0000e+00
2.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	2.0000e+00	1.0881e+01	3.6347e+01	3.2663e+00	9.9152e+01	2.7485e+02	9.7680e+01	0.0000e+00	3.2426e+01	2.4792e+01	1.4899e+03	0.0000e+00
3.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	3.0000e+00	1.0781e+01	3.6302e+01	2.9933e+00	8.6913e+01	2.7266e+02	9.6664e+01	0.0000e+00	3.2469e+01	2.4844e+01	1.4896e+03	0.0000e+00
4.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	4.0000e+00	1.0795e+01	3.6314e+01	3.7345e+00	5.3809e+01	2.7474e+02	9.7520e+01	0.0000e+00	3.2469e+01	2.4841e+01	1.4897e+03	0.0000e+00
5.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e+00	1.0723e+01	3.6286e+01	3.7918e+00	5.0463e+01	2.7324e+02	9.6855e+01	0.0000e+00	3.2504e+01	2.4881e+01	1.4895e+03	0.0000e+00
6.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	6.0000e+00	1.0805e+01	3.6319e+01	2.9944e+00	3.1616e+01	2.7347e+02	9.7086e+01	0.0000e+00	3.2464e+01	2.4835e+01	1.4897e+03	0.0000e+00
7.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	7.0000e+00	1.0749e+01	3.6298e+01	3.5883e+00	2.9011e+01	2.7338e+02	9.6960e+01	0.0000e+00	3.2492e+01	2.4867e+01	1.4896e+03	0.0000e+00
8.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	8.0000e+00	1.0759e+01	3.6302e+01	3.9140e+00	1.9401e+01	2.7247e+02	9.6652e+01	0.0000e+00	3.2487e+01	2.4861e+01	1.4896e+03	0.0000e+00
9.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	9.0000e+00	1.0750e+01	3.6298e+01	3.7191e+00	1.6089e+01	2.7377e+02	9.7102e+01	0.0000e+00	3.2491e+01	2.4866e+01	1.4896e+03	0.0000e+00
1.0000e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+01	1.0754e+01	3.6300e+01	3.6231e+00	1.3058e+01	2.7377e+02	9.7085e+01	0.0000e+00	3.2488e+01	2.4863e+01	1.4896e+03	0.0000e+00
1.1000e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.1000e+01	1.0745e+01	3.6298e+01	3.9418e+00	9.8855e+00	2.7375e+02	9.7078e+01	0.0000e+00	3.2493e+01	2.4869e+01	1.4896e+03	0.0000e+00
1.2000e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.2000e+01	1.0735e+01	3.6296e+01	3.9260e+00	8.1161e+00	2.7311e+02	9.6839e+01	0.0000e+00	3.2500e+01	2.4876e+01	1.4896e+03	0.0000e+00
1.1000e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.1000e+01	1.0745e+01	3.6298e+01	3.9418e+00	9.8855e+00	2.7375e+02	9.7078e+01	0.0000e+00	3.2493e+01	2.4869e+01	1.4896e+03	0.0000e+00
1.0000e+01	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	1.0000e+01	1.0754e+01	3.6300e+01	3.6231e+00	1.3058e+01	2.7377e+02	9.7085e+01	0.0000e+00	3.2488e+01	2.4863e+01	1.4896e+03	0.0000e+00
9.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	9.0000e+00	1.0750e+01	3.6298e+01	3.7191e+00	1.6089e+01	2.7377e+02	9.7102e+01	0.0000e+00	3.2491e+01	2.4866e+01	1.4896e+03	0.0000e+00
8.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	8.0000e+00	1.0759e+01	3.6302e+01	3.9140e+00	1.9401e+01	2.7247e+02	9.6652e+01	0.0000e+00	3.2487e+01	2.4861e+01	1.4896e+03	0.0000e+00
7.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	7.0000e+00	1.0749e+01	3.6298e+01	3.5883e+00	2.9011e+01	2.7338e+02	9.6960e+01	0.0000e+00	3.2492e+01	2.4867e+01	1.4896e+03	0.0000e+00
6.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	6.0000e+00	1.0805e+01	3.6319e+01	2.9944e+00	3.1616e+01	2.7347e+02	9.7086e+01	0.0000e+00	3.2464e+01	2.4835e+01	1.4897e+03	0.0000e+00
